scientific_name,sra_accession,mag_file,tax_id,mag_name
uncultured Comamonas sp.,ERS6626987,uncultured_Comamonas_sp._ERS6626987.fasta,114710,uncultured_Comamonas_sp._ERS6626987
uncultured Hymenobacter sp.,ERS6627279,uncultured_Hymenobacter_sp._ERS6627279.fasta,170016,uncultured_Hymenobacter_sp._ERS6627279
uncultured Deinococcus sp.,ERS6627293,uncultured_Deinococcus_sp._ERS6627293.fasta,158789,uncultured_Deinococcus_sp._ERS6627293
uncultured Acinetobacter sp.,ERS6626825,uncultured_Acinetobacter_sp._ERS6626825.fasta,165433,uncultured_Acinetobacter_sp._ERS6626825
uncultured Novosphingobium sp.,ERS6627247,uncultured_Novosphingobium_sp._ERS6627247.fasta,292277,uncultured_Novosphingobium_sp._ERS6627247
uncultured Massilia sp.,ERS6626950,uncultured_Massilia_sp._ERS6626950.fasta,169973,uncultured_Massilia_sp._ERS6626950
uncultured Pedobacter sp.,ERS6626919,uncultured_Pedobacter_sp._ERS6626919.fasta,246139,uncultured_Pedobacter_sp._ERS6626919
uncultured Sphingomonas sp.,ERS6627261,uncultured_Sphingomonas_sp._ERS6627261.fasta,158754,uncultured_Sphingomonas_sp._ERS6627261
uncultured Pseudacidovorax sp.,ERS6627003,uncultured_Pseudacidovorax_sp._ERS6627003.fasta,679313,uncultured_Pseudacidovorax_sp._ERS6627003
uncultured Devosia sp.,ERS6626961,uncultured_Devosia_sp._ERS6626961.fasta,211434,uncultured_Devosia_sp._ERS6626961
uncultured Xylophilus sp.,ERS6626940,uncultured_Xylophilus_sp._ERS6626940.fasta,296832,uncultured_Xylophilus_sp._ERS6626940
uncultured Microbacterium sp.,ERS6626925,uncultured_Microbacterium_sp._ERS6626925.fasta,191216,uncultured_Microbacterium_sp._ERS6626925
